Team,Wins,Losses,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SMU,11,3,Louisiana Tech,Oklahoma,NULL,TCU,Charlotte,East Carolina,Temple,Tulsa,Rice,North Texas,Memphis,Navy,Tulane,Boston College,
Tulane,11,3,South Alabama,Ole Miss,Southern Miss,NULL,UAB,Memphis,North Texas,Rice,East Carolina,Tulsa,Florida Atlantic,UTSA,SMU,Virginia Tech,
UTSA,9,4,Houston,Texas St,Army,Tennessee,Temple,UAB,Florida Atlantic,East Carolina,North Texas,Rice,South Florida,Tulane,Marshall,,
Memphis,10,3,NULL,Arkansas St,Navy,Missouri,Boise St,Tulane,UAB,North Texas,South Florida,Charlotte,SMU,Temple,Iowa St,,
South Florida,7,6,Western Kentucky,NULL,Alabama,Rice,Navy,UAB,Florida Atlantic,UConn,Memphis,Temple,UTSA,Charlotte,Syracuse,,
Rice,6,7,Texas,Houston,NULL,South Florida,East Carolina,UConn,Tulsa,Tulane,SMU,UTSA,Charlotte,Florida Atlantic,Texas St,,
Navy,5,7,Notre Dame,NULL,Memphis,South Florida,North Texas,Charlotte,Air Force,Temple,UAB,East Carolina,SMU,Army,,,
North Texas,5,7,California,Florida International,Louisiana Tech,NULL,Navy,Temple,Tulane,Memphis,UTSA,SMU,Tulsa,UAB,,,
UAB,4,8,,,,,,,,,,,,,,,
Florida Atlantic,4,8,,,,,,,,,,,,,,,
Charlotte,3,9,NULL,Maryland,Georgia St,Florida,SMU,Navy,East Carolina,Florida Atlantic,Tulsa,Memphis,Rice,South Florida,,,
Tulsa,4,8,NULL,Washington,Oklahoma,Northern Illinois,Temple,Florida Atlantic,Rice,SMU,Charlotte,Tulane,North Texas,East Carolina,,,
Temple,3,9,Akron,Rutgers,NULL,Miami FL,Tulsa,UTSA,North Texas,SMU,Navy,South Florida,UAB,Memphis,,,
East Carolina,2,10,Michigan,Marshall,Appalachian St,NULL,Rice,SMU,Charlotte,UTSA,Tulane,Florida Atlantic,Navy,Tulsa,,,
Florida St,13,1,,,,,,,,,,,,,,,
Louisville,10,4,,,,,,,,,,,,,,,
NC State,9,4,,,,,,,,,,,,,,,
Georgia Tech,7,6,,,,,,,,,,,,,,,
Virginia Tech,7,6,,,,,,,,,,,,,,,
Clemson,9,4,,,,,,,,,,,,,,,
North Carolina,8,5,,,,,,,,,,,,,,,
Duke,8,5,,,,,,,,,,,,,,,
Miami FL,7,6,,,,,,,,,,,,,,,
Boston College,7,6,,,,,,,,,,,,,,,
Syracuse,6,7,,,,,,,,,,,,,,,
Pittsburgh,3,9,,,,,,,,,,,,,,,
Virginia,3,9,,,,,,,,,,,,,,,
Wake Forest,4,8,,,,,,,,,,,,,,,
Texas,12,2,,,,,,,,,,,,,,,
Oklahoma St,10,4,,,,,,,,,,,,,,,
Oklahoma,10,3,Arkansas St,SMU,Tulsa,Cincinnati,Iowa St,Texas,UCF,Kansas,Oklahoma St,West Virginia,BYU,TCU,Arizona,,
Iowa St,7,6,,,,,,,,,,,,,,,
Kansas St,9,4,,,,,,,,,,,,,,,
West Virginia,9,4,,,,,,,,,,,,,,,
Texas Tech,7,6,,,,,,,,,,,,,,,
Kansas,9,4,,,,,,,,,,,,,,,
TCU,5,7,Colorado,NULL,Houston,SMU,West Virginia,Iowa St,BYU,Kansas St,Texas Tech,Texas,Baylor,Oklahoma,,,
UCF,6,7,,,,,,,,,,,,,,,
Houston,4,8,,,,,,,,,,,,,,,
BYU,5,7,,,,,,,,,,,,,,,
Baylor,3,9,,,,,,,,,,,,,,,
Cincinnati,3,9,,,,,,,,,,,,,,,
Michigan,15,0,,,,,,,,,,,,,,,
Ohio St,11,2,,,,,,,,,,,,,,,
Penn St,10,3,,,,,,,,,,,,,,,
Maryland,8,5,,,,,,,,,,,,,,,
Rutgers,7,6,,,,,,,,,,,,,,,
Michigan St,4,8,,,,,,,,,,,,,,,
Indiana,3,9,,,,,,,,,,,,,,,
Iowa,10,4,,,,,,,,,,,,,,,
Northwestern,8,5,,,,,,,,,,,,,,,
Wisconsin,7,6,,,,,,,,,,,,,,,
Nebraska,5,7,,,,,,,,,,,,,,,
Purdue,4,8,,,,,,,,,,,,,,,
Illinois,5,7,,,,,,,,,,,,,,,
Minnesota,6,7,,,,,,,,,,,,,,,
Liberty,13,1,,,,,,,,,,,,,,,
New Mexico St,10,5,,,,,,,,,,,,,,,
Jacksonville St,9,4,,,,,,,,,,,,,,,
Western Kentucky,8,5,,,,,,,,,,,,,,,
Middle Tennessee,4,8,,,,,,,,,,,,,,,
Louisana Tech,3,9,Florida International,SMU,NULL,North Texas,Nebraska,UTEP,Western Kentucky,Middle Tennessee,New Mexico St,Liberty,Sam Houston,Jacksonville St,,,
Sam Houston,3,9,,,,,,,,,,,,,,,
UTEP,3,9,,,,,,,,,,,,,,,
Florida International,4,8,,,,,,,,,,,,,,,
Notre Dame,10,3,,,,,,,,,,,,,,,
Army,6,6,,,,,,,,,,,,,,,
UConn,3,9,,,,,,,,,,,,,,,
UMass,3,9,,,,,,,,,,,,,,,
Miami OH,11,3,,,,,,,,,,,,,,,
Ohio,10,3,,,,,,,,,,,,,,,
Bowling Green,7,6,,,,,,,,,,,,,,,
Buffalo,3,9,,,,,,,,,,,,,,,
Akron,2,10,,,,,,,,,,,,,,,
Kent St,1,11,,,,,,,,,,,,,,,
Toledo,11,3,,,,,,,,,,,,,,,
Northern Illinois,7,6,,,,,,,,,,,,,,,
Eastern Michigan,6,7,,,,,,,,,,,,,,,
Western Michigan,4,8,,,,,,,,,,,,,,,
Ball St,4,8,,,,,,,,,,,,,,,
Central Michigan,5,7,,,,,,,,,,,,,,,
Boise St,8,6,,,,,,,,,,,,,,,
San Jose St,7,6,,,,,,,,,,,,,,,
UNLV,9,5,,,,,,,,,,,,,,,
Air Force,9,4,,,,,,,,,,,,,,,
Wyoming,9,4,,,,,,,,,,,,,,,
Fresno St,9,4,,,,,,,,,,,,,,,
Utah St,6,7,,,,,,,,,,,,,,,
Hawaii,5,8,,,,,,,,,,,,,,,
Colorado St,5,7,,,,,,,,,,,,,,,
Nevada,2,10,,,,,,,,,,,,,,,
New Mexico,4,8,,,,,,,,,,,,,,,
San Diego St,4,8,,,,,,,,,,,,,,,
Washington,14,1,,,,,,,,,,,,,,,
Oregon,12,2,,,,,,,,,,,,,,,
Arizona,10,3,,,,,,,,,,,,,,,
Oregon St,8,5,,,,,,,,,,,,,,,
USC,8,5,,,,,,,,,,,,,,,
Utah,8,5,,,,,,,,,,,,,,,
California,6,7,,,,,,,,,,,,,,,
UCLA,8,5,,,,,,,,,,,,,,,
Stanford,3,9,,,,,,,,,,,,,,,
Washington St,5,7,,,,,,,,,,,,,,,
Arizona St,3,9,,,,,,,,,,,,,,,
Colorado,4,8,,,,,,,,,,,,,,,
Georgia,13,1,,,,,,,,,,,,,,,
Missouri,11,2,,,,,,,,,,,,,,,
Tennessee,9,4,,,,,,,,,,,,,,,
Kentucky,7,6,,,,,,,,,,,,,,,
Florida,5,7,,,,,,,,,,,,,,,
South Carolina,5,7,,,,,,,,,,,,,,,
Vanderbilt,2,10,,,,,,,,,,,,,,,
Alabama,12,2,,,,,,,,,,,,,,,
Ole Miss,11,2,,,,,,,,,,,,,,,
LSU,10,3,,,,,,,,,,,,,,,
Texas A&M,7,6,,,,,,,,,,,,,,,
Auburn,6,7,,,,,,,,,,,,,,,
Mississippi St,5,7,,,,,,,,,,,,,,,
Arkansas,4,8,,,,,,,,,,,,,,,
James Madison,11,2,,,,,,,,,,,,,,,
Appalachian St,9,5,,,,,,,,,,,,,,,
Coastal Carolina,8,5,,,,,,,,,,,,,,,
Old Dominion,6,7,,,,,,,,,,,,,,,
Georgia St,7,6,,,,,,,,,,,,,,,
Marshall,6,7,,,,,,,,,,,,,,,
Georgia Southern,6,7,,,,,,,,,,,,,,,
Troy,11,3,,,,,,,,,,,,,,,
Texas St,8,5,,,,,,,,,,,,,,,
South Alabama,7,6,,,,,,,,,,,,,,,
Arkansas St,6,7,,,,,,,,,,,,,,,
Louisiana,6,7,,,,,,,,,,,,,,,
Southern Miss,3,9,,,,,,,,,,,,,,,
UL-Monroe,2,10,,,,,,,,,,,,,,,
NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL